shift_id,year,month,date,staff_id,staff_name,scheduled_start,scheduled_end,actual_start,actual_end,scheduled_hours,actual_hours,break_minutes,overtime_minutes,is_late,is_early_leave,notes
SH20250709_0030,2025,7,9,744,吉田瑛里,16:00,23:00,16:00,23:06,6.0,6.1,60,6,FALSE,FALSE,
SH20250710_0031,2025,7,10,743,会田英明,08:00,17:00,08:00,17:02,8.0,8.0,60,2,FALSE,FALSE,
SH20250710_0032,2025,7,10,741,中谷晋,09:00,20:30,09:00,20:29,10.5,10.5,60,0,FALSE,FALSE,
SH20250710_0033,2025,7,10,742,中村栞,11:00,20:00,11:00,20:07,8.0,8.1,60,7,FALSE,FALSE,
SH20250710_0034,2025,7,10,744,吉田瑛里,17:00,23:30,17:00,23:38,5.5,5.6,60,8,FALSE,FALSE,
SH20250711_0035,2025,7,11,740,佐藤研,09:00,20:30,09:00,20:30,10.5,10.4,60,0,FALSE,TRUE,早退
SH20250711_0036,2025,7,11,741,中谷晋,08:00,17:00,08:00,17:10,8.0,8.2,60,10,FALSE,FALSE,
SH20250711_0037,2025,7,11,742,中村栞,11:00,20:00,11:00,19:58,8.0,8.0,60,0,FALSE,FALSE,
SH20250711_0038,2025,7,11,744,吉田瑛里,11:00,23:00,11:00,22:58,11.0,11.0,60,0,FALSE,FALSE,
SH20250712_0039,2025,7,12,740,佐藤研,12:00,20:30,12:00,20:33,7.5,7.5,60,3,FALSE,FALSE,
SH20250712_0040,2025,7,12,743,会田英明,08:00,17:00,08:00,17:06,8.0,8.1,60,6,FALSE,FALSE,
SH20250712_0041,2025,7,12,741,中谷晋,09:00,20:30,09:00,20:31,10.5,10.5,60,1,FALSE,FALSE,
SH20250712_0042,2025,7,12,744,吉田瑛里,09:00,16:00,09:00,16:05,6.0,6.1,60,5,FALSE,FALSE,
SH20250713_0043,2025,7,13,740,佐藤研,09:00,20:30,09:00,20:27,10.5,10.4,60,0,FALSE,FALSE,
SH20250713_0044,2025,7,13,743,会田英明,08:00,17:00,08:00,16:55,8.0,7.9,60,0,FALSE,FALSE,
SH20250713_0045,2025,7,13,742,中村栞,11:00,20:00,11:00,19:59,8.0,8.0,60,0,FALSE,FALSE,
SH20250714_0046,2025,7,14,740,佐藤研,12:00,20:30,12:00,20:37,7.5,7.6,60,7,FALSE,FALSE,
SH20250714_0047,2025,7,14,743,会田英明,08:00,17:00,08:00,17:04,8.0,8.1,60,4,FALSE,FALSE,
SH20250714_0048,2025,7,14,741,中谷晋,09:00,20:30,09:00,20:39,10.5,10.7,60,9,FALSE,FALSE,
SH20250714_0049,2025,7,14,744,吉田瑛里,10:00,23:00,10:00,23:09,12.0,12.2,60,9,FALSE,FALSE,
SH20250715_0050,2025,7,15,743,会田英明,08:00,17:00,08:00,17:02,8.0,8.0,60,2,FALSE,FALSE,
SH20250715_0051,2025,7,15,741,中谷晋,09:00,17:00,09:00,17:06,7.0,7.1,60,6,FALSE,FALSE,
SH20250715_0052,2025,7,15,742,中村栞,11:00,20:00,11:00,20:09,8.0,8.2,60,9,FALSE,FALSE,
SH20250715_0053,2025,7,15,744,吉田瑛里,17:00,20:30,17:00,20:35,3.5,3.6,0,5,FALSE,FALSE,
SH20250716_0054,2025,7,16,740,佐藤研,09:00,20:30,09:00,20:27,10.5,10.4,60,0,FALSE,FALSE,
SH20250716_0055,2025,7,16,741,中谷晋,08:00,17:00,08:00,17:03,8.0,8.1,60,3,FALSE,FALSE,
SH20250716_0056,2025,7,16,742,中村栞,11:00,20:00,11:00,19:59,8.0,8.0,60,0,FALSE,FALSE,
SH20250716_0057,2025,7,16,744,吉田瑛里,16:00,23:00,16:00,23:03,6.0,6.0,60,3,FALSE,FALSE,
SH20250717_0058,2025,7,17,740,佐藤研,12:00,20:30,12:00,20:25,7.5,7.4,60,0,FALSE,FALSE,
SH20250717_0059,2025,7,17,743,会田英明,08:00,17:00,08:00,16:58,8.0,8.0,60,0,FALSE,FALSE,
SH20250717_0060,2025,7,17,741,中谷晋,09:00,20:30,09:00,20:34,10.5,10.6,60,4,FALSE,FALSE,
SH20250717_0061,2025,7,17,744,吉田瑛里,16:00,23:30,16:00,23:40,6.5,6.7,60,10,FALSE,FALSE,
SH20250718_0062,2025,7,18,740,佐藤研,17:00,20:30,17:00,20:33,3.5,3.5,0,3,FALSE,FALSE,
SH20250718_0063,2025,7,18,743,会田英明,08:00,17:00,08:00,16:57,8.0,8.0,60,0,FALSE,FALSE,
SH20250718_0064,2025,7,18,742,中村栞,11:00,20:00,11:00,19:59,8.0,8.0,60,0,FALSE,FALSE,
SH20250718_0065,2025,7,18,744,吉田瑛里,09:00,17:00,09:00,17:01,7.0,7.0,60,1,FALSE,FALSE,
SH20250719_0066,2025,7,19,740,佐藤研,17:00,20:30,17:00,20:38,3.5,3.6,0,8,FALSE,FALSE,
SH20250719_0067,2025,7,19,743,会田英明,08:00,17:00,08:00,16:58,8.0,8.0,60,0,FALSE,FALSE,
SH20250719_0068,2025,7,19,741,中谷晋,09:00,17:00,09:00,17:05,7.0,7.1,60,5,FALSE,FALSE,
SH20250719_0069,2025,7,19,744,吉田瑛里,11:00,20:30,11:00,20:32,8.5,8.5,60,2,FALSE,FALSE,
SH20250720_0070,2025,7,20,743,会田英明,08:00,17:00,08:00,16:55,8.0,7.9,60,0,FALSE,FALSE,
SH20250720_0071,2025,7,20,741,中谷晋,09:00,20:30,09:00,20:34,10.5,10.6,60,4,FALSE,FALSE,
SH20250720_0072,2025,7,20,742,中村栞,11:00,20:00,11:00,19:58,8.0,8.0,60,0,FALSE,FALSE,
SH20250720_0073,2025,7,20,744,吉田瑛里,17:00,20:30,17:00,20:25,3.5,3.4,0,0,FALSE,FALSE,
SH20250721_0074,2025,7,21,740,佐藤研,09:00,20:30,09:00,20:31,10.5,10.5,60,1,FALSE,FALSE,
SH20250721_0075,2025,7,21,741,中谷晋,08:00,17:00,08:00,17:08,8.0,8.1,60,8,FALSE,FALSE,
SH20250721_0076,2025,7,21,744,吉田瑛里,11:00,20:30,11:00,20:29,8.5,8.5,60,0,FALSE,FALSE,
SH20250722_0077,2025,7,22,740,佐藤研,12:00,20:30,12:00,20:38,7.5,7.6,60,8,FALSE,FALSE,
SH20250722_0078,2025,7,22,743,会田英明,08:00,17:00,08:00,17:07,8.0,8.1,60,7,FALSE,FALSE,
SH20250722_0079,2025,7,22,741,中谷晋,09:00,20:30,09:00,20:27,10.5,10.4,60,0,FALSE,FALSE,
SH20250722_0080,2025,7,22,744,吉田瑛里,17:00,23:30,17:00,23:33,5.5,5.5,60,3,FALSE,FALSE,
SH20250723_0081,2025,7,23,740,佐藤研,17:00,20:30,17:00,20:38,3.5,3.6,0,8,FALSE,FALSE,
SH20250723_0082,2025,7,23,743,会田英明,08:00,17:00,08:00,16:57,8.0,8.0,60,0,FALSE,FALSE,
SH20250723_0083,2025,7,23,741,中谷晋,09:00,17:00,09:00,17:01,7.0,7.0,60,1,FALSE,FALSE,
SH20250723_0084,2025,7,23,742,中村栞,11:00,20:00,11:00,19:59,8.0,8.0,60,0,FALSE,FALSE,
SH20250723_0085,2025,7,23,744,吉田瑛里,10:00,23:00,10:00,23:10,12.0,12.2,60,10,FALSE,FALSE,
SH20250724_0086,2025,7,24,740,佐藤研,09:00,20:30,09:00,20:40,10.5,10.7,60,10,FALSE,FALSE,
SH20250724_0087,2025,7,24,743,会田英明,08:00,17:00,08:00,17:06,8.0,8.1,60,6,FALSE,FALSE,
SH20250724_0088,2025,7,24,742,中村栞,11:00,20:00,11:00,19:58,8.0,8.0,60,0,FALSE,FALSE,
SH20250725_0089,2025,7,25,740,佐藤研,09:00,20:30,09:00,20:32,10.5,10.5,60,2,FALSE,FALSE,
SH20250725_0090,2025,7,25,741,中谷晋,08:00,17:00,08:00,16:57,8.0,8.0,60,0,FALSE,FALSE,
SH20250725_0091,2025,7,25,742,中村栞,11:00,20:00,11:00,19:57,8.0,8.0,60,0,FALSE,FALSE,
SH20250726_0092,2025,7,26,743,会田英明,08:00,17:00,08:00,17:04,8.0,8.1,60,4,FALSE,FALSE,
SH20250726_0093,2025,7,26,741,中谷晋,09:00,20:30,09:00,20:30,10.5,10.4,60,0,FALSE,TRUE,早退
SH20250726_0094,2025,7,26,742,中村栞,11:00,20:00,11:00,20:08,8.0,8.1,60,8,FALSE,FALSE,
SH20250727_0095,2025,7,27,740,佐藤研,12:00,20:30,12:00,20:33,7.5,7.5,60,3,FALSE,FALSE,
SH20250727_0096,2025,7,27,743,会田英明,08:00,17:00,08:00,16:57,8.0,8.0,60,0,FALSE,FALSE,
SH20250727_0097,2025,7,27,741,中谷晋,09:00,20:30,09:00,20:25,10.5,10.4,60,0,FALSE,FALSE,
SH20250728_0098,2025,7,28,740,佐藤研,09:00,20:30,09:00,20:34,10.5,10.6,60,4,FALSE,FALSE,
SH20250728_0099,2025,7,28,741,中谷晋,08:00,17:00,08:00,17:06,8.0,8.1,60,6,FALSE,FALSE,
SH20250728_0100,2025,7,28,742,中村栞,11:00,20:00,11:00,20:09,8.0,8.2,60,9,FALSE,FALSE,
SH20250728_0101,2025,7,28,744,吉田瑛里,09:00,23:30,09:00,23:35,13.5,13.6,60,5,FALSE,FALSE,
SH20250729_0102,2025,7,29,743,会田英明,08:00,17:00,08:00,17:01,8.0,8.0,60,1,FALSE,FALSE,
SH20250729_0103,2025,7,29,741,中谷晋,09:00,20:30,09:00,20:29,10.5,10.5,60,0,FALSE,FALSE,
SH20250729_0104,2025,7,29,742,中村栞,11:00,20:00,11:00,20:04,8.0,8.1,60,4,FALSE,FALSE,
SH20250730_0105,2025,7,30,740,佐藤研,09:00,20:30,09:00,20:34,10.5,10.6,60,4,FALSE,FALSE,
SH20250730_0106,2025,7,30,743,会田英明,08:00,17:00,08:00,17:10,8.0,8.2,60,10,FALSE,FALSE,
SH20250730_0107,2025,7,30,742,中村栞,11:00,20:00,11:00,20:06,8.0,8.1,60,6,FALSE,FALSE,
SH20250731_0108,2025,7,31,740,佐藤研,09:00,20:30,09:00,20:25,10.5,10.4,60,0,FALSE,FALSE,
SH20250731_0109,2025,7,31,743,会田英明,08:00,17:00,08:00,16:56,8.0,7.9,60,0,FALSE,FALSE,
SH20250731_0110,2025,7,31,742,中村栞,11:00,20:00,11:00,20:00,8.0,8.0,60,0,FALSE,FALSE,
SH20250731_0111,2025,7,31,744,吉田瑛里,09:00,23:30,09:00,23:25,13.5,13.4,60,0,FALSE,FALSE,
SH20250701_0112,2025,7,1,745,秋元梢,17:00,23:30,17:00,23:40,5.5,5.7,60,10,FALSE,FALSE,
SH20250701_0113,2025,7,1,746,内藤加奈子,09:00,17:00,09:00,17:01,7.0,7.0,60,1,FALSE,FALSE,
SH20250702_0114,2025,7,2,745,秋元梢,09:00,18:00,09:00,18:02,8.0,8.0,60,2,FALSE,FALSE,
SH20250702_0115,2025,7,2,747,佐々美音,18:00,23:30,18:00,23:25,4.5,4.4,60,0,FALSE,FALSE,
SH20250703_0116,2025,7,3,745,秋元梢,09:00,23:30,09:00,23:36,13.5,13.6,60,6,FALSE,FALSE,
SH20250704_0117,2025,7,4,745,秋元梢,09:00,23:30,09:00,23:36,13.5,13.6,60,6,FALSE,FALSE,
SH20250705_0118,2025,7,5,745,秋元梢,09:00,23:30,09:00,23:28,13.5,13.5,60,0,FALSE,FALSE,
SH20250706_0119,2025,7,6,744,吉田瑛里,09:00,23:30,09:00,23:32,13.5,13.5,60,2,FALSE,FALSE,
SH20250707_0120,2025,7,7,744,吉田瑛里,11:00,20:30,11:00,20:34,8.5,8.6,60,4,FALSE,FALSE,
SH20250707_0121,2025,7,7,745,秋元梢,09:00,23:30,09:00,23:29,13.5,13.5,60,0,FALSE,FALSE,
SH20250708_0122,2025,7,8,744,吉田瑛里,11:00,20:30,11:00,20:26,8.5,8.4,60,0,FALSE,FALSE,
SH20250708_0123,2025,7,8,745,秋元梢,17:00,23:30,17:00,23:36,5.5,5.6,60,6,FALSE,FALSE,
SH20250708_0124,2025,7,8,746,内藤加奈子,09:00,17:00,09:00,17:03,7.0,7.0,60,3,FALSE,FALSE,
SH20250709_0125,2025,7,9,744,吉田瑛里,16:00,23:00,16:00,22:59,6.0,6.0,60,0,FALSE,FALSE,
SH20250709_0126,2025,7,9,745,秋元梢,09:00,23:30,09:00,23:35,13.5,13.6,60,5,FALSE,FALSE,
SH20250710_0127,2025,7,10,744,吉田瑛里,17:00,23:30,17:00,23:38,5.5,5.6,60,8,FALSE,FALSE,
SH20250710_0128,2025,7,10,746,内藤加奈子,09:00,17:00,09:00,17:07,7.0,7.1,60,7,FALSE,FALSE,
SH20250711_0129,2025,7,11,744,吉田瑛里,11:00,23:00,11:00,23:08,11.0,11.1,60,8,FALSE,FALSE,
SH20250711_0130,2025,7,11,745,秋元梢,17:00,23:30,17:00,23:36,5.5,5.6,60,6,FALSE,FALSE,
SH20250711_0131,2025,7,11,746,内藤加奈子,09:00,17:00,09:00,17:05,7.0,7.1,60,5,FALSE,FALSE,
SH20250712_0132,2025,7,12,744,吉田瑛里,09:00,16:00,09:00,16:06,6.0,6.1,60,6,FALSE,FALSE,
SH20250712_0133,2025,7,12,747,佐々美音,16:00,23:30,16:00,23:30,6.5,6.5,60,0,FALSE,FALSE,
SH20250713_0134,2025,7,13,745,秋元梢,09:00,23:30,09:00,23:38,13.5,13.6,60,8,FALSE,FALSE,
SH20250714_0135,2025,7,14,744,吉田瑛里,10:00,23:00,10:00,23:05,12.0,12.1,60,5,FALSE,FALSE,
SH20250714_0136,2025,7,14,745,秋元梢,17:00,23:30,17:00,23:35,5.5,5.6,60,5,FALSE,FALSE,
SH20250714_0137,2025,7,14,746,内藤加奈子,09:00,17:00,09:00,16:57,7.0,7.0,60,0,FALSE,FALSE,
SH20250715_0138,2025,7,15,744,吉田瑛里,17:00,20:30,17:00,20:39,3.5,3.6,0,9,FALSE,FALSE,
SH20250715_0139,2025,7,15,745,秋元梢,09:00,23:30,09:00,23:31,13.5,13.5,60,1,FALSE,FALSE,
SH20250716_0140,2025,7,16,744,吉田瑛里,16:00,23:00,16:00,23:03,6.0,6.0,60,3,FALSE,FALSE,
SH20250716_0141,2025,7,16,745,秋元梢,09:00,23:30,09:00,23:28,13.5,13.5,60,0,FALSE,FALSE,
SH20250717_0142,2025,7,17,744,吉田瑛里,16:00,23:30,16:00,23:32,6.5,6.5,60,2,FALSE,FALSE,
SH20250717_0143,2025,7,17,746,内藤加奈子,09:00,16:00,09:00,15:55,6.0,5.9,60,0,FALSE,FALSE,
SH20250718_0144,2025,7,18,744,吉田瑛里,09:00,17:00,09:00,17:02,7.0,7.0,60,2,FALSE,FALSE,
SH20250718_0145,2025,7,18,745,秋元梢,09:00,23:30,09:00,23:39,13.5,13.7,60,9,FALSE,FALSE,
SH20250719_0146,2025,7,19,744,吉田瑛里,11:00,20:30,11:00,20:27,8.5,8.4,60,0,FALSE,FALSE,
SH20250719_0147,2025,7,19,745,秋元梢,09:00,23:30,09:00,23:32,13.5,13.5,60,2,FALSE,FALSE,
SH20250720_0148,2025,7,20,744,吉田瑛里,17:00,20:30,17:00,20:28,3.5,3.5,0,0,FALSE,FALSE,
SH20250720_0149,2025,7,20,745,秋元梢,09:00,23:30,09:00,23:28,13.5,13.5,60,0,FALSE,FALSE,
SH20250721_0150,2025,7,21,744,吉田瑛里,11:00,20:30,11:00,20:27,8.5,8.4,60,0,FALSE,FALSE,
SH20250721_0151,2025,7,21,745,秋元梢,09:00,23:30,09:00,23:40,13.5,13.7,60,10,FALSE,FALSE,
SH20250722_0152,2025,7,22,744,吉田瑛里,17:00,23:30,17:00,23:33,5.5,5.5,60,3,FALSE,FALSE,
SH20250722_0153,2025,7,22,746,内藤加奈子,09:00,17:00,09:00,17:04,7.0,7.1,60,4,FALSE,FALSE,
SH20250723_0154,2025,7,23,744,吉田瑛里,10:00,23:00,10:00,23:10,12.0,12.2,60,10,FALSE,FALSE,
SH20250723_0155,2025,7,23,745,秋元梢,09:00,23:30,09:00,23:32,13.5,13.5,60,2,FALSE,FALSE,
SH20250724_0156,2025,7,24,745,秋元梢,17:00,23:30,17:00,23:33,5.5,5.5,60,3,FALSE,FALSE,
SH20250724_0157,2025,7,24,746,内藤加奈子,09:00,17:00,09:00,17:04,7.0,7.1,60,4,FALSE,FALSE,
SH20250725_0158,2025,7,25,745,秋元梢,17:00,23:30,17:00,23:33,5.5,5.5,60,3,FALSE,FALSE,
SH20250725_0159,2025,7,25,746,内藤加奈子,09:00,17:00,09:00,17:02,7.0,7.0,60,2,FALSE,FALSE,
SH20250726_0160,2025,7,26,745,秋元梢,09:00,23:30,09:00,23:27,13.5,13.4,60,0,FALSE,FALSE,
SH20250727_0161,2025,7,27,745,秋元梢,09:00,23:30,09:00,23:27,13.5,13.4,60,0,FALSE,FALSE,
SH20250728_0162,2025,7,28,744,吉田瑛里,09:00,23:30,09:00,23:40,13.5,13.7,60,10,FALSE,FALSE,
SH20250729_0163,2025,7,29,745,秋元梢,17:00,23:30,17:00,23:25,5.5,5.4,60,0,FALSE,FALSE,
SH20250729_0164,2025,7,29,746,内藤加奈子,09:00,17:00,09:00,17:07,7.0,7.1,60,7,FALSE,FALSE,
SH20250730_0165,2025,7,30,745,秋元梢,17:00,23:30,16:56,23:26,5.5,5.4,60,0,TRUE,FALSE,遅刻
SH20250730_0166,2025,7,30,746,内藤加奈子,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20250731_0167,2025,7,31,744,吉田瑛里,09:00,23:30,09:00,23:31,13.5,13.5,60,1,FALSE,FALSE,
SH20250701_0168,2025,7,1,748,Tipsy Tiger,17:30,23:30,17:30,23:38,5.0,5.1,60,8,FALSE,FALSE,
SH20250701_0169,2025,7,1,749,ケサブ,09:00,18:00,09:00,18:06,8.0,8.1,60,6,FALSE,FALSE,
SH20250702_0170,2025,7,2,748,Tipsy Tiger,17:30,23:30,17:30,23:36,5.0,5.1,60,6,FALSE,FALSE,
SH20250702_0171,2025,7,2,749,ケサブ,09:00,18:00,09:00,18:02,8.0,8.0,60,2,FALSE,FALSE,
SH20250703_0172,2025,7,3,749,ケサブ,09:00,23:30,09:00,23:37,13.5,13.6,60,7,FALSE,FALSE,
SH20250704_0173,2025,7,4,748,Tipsy Tiger,09:00,23:30,09:00,23:29,13.5,13.5,60,0,FALSE,FALSE,
SH20250705_0174,2025,7,5,749,ケサブ,09:00,18:00,09:00,18:08,8.0,8.1,60,8,FALSE,FALSE,
SH20250705_0175,2025,7,5,750,加藤智津子,16:00,23:30,16:00,23:34,6.5,6.6,60,4,FALSE,FALSE,
SH20250705_0176,2025,7,5,747,佐々美音,12:00,22:00,12:00,22:04,9.0,9.1,60,4,FALSE,FALSE,
SH20250706_0177,2025,7,6,748,Tipsy Tiger,09:00,23:30,09:00,23:34,13.5,13.6,60,4,FALSE,FALSE,
SH20250706_0178,2025,7,6,747,佐々美音,12:00,22:00,11:55,21:55,9.0,8.9,60,0,TRUE,FALSE,遅刻
SH20250707_0179,2025,7,7,748,Tipsy Tiger,17:30,23:30,17:30,23:26,5.0,4.9,60,0,FALSE,FALSE,
SH20250707_0180,2025,7,7,749,ケサブ,09:00,18:00,09:00,17:57,8.0,8.0,60,0,FALSE,FALSE,
SH20250708_0181,2025,7,8,748,Tipsy Tiger,17:30,23:30,17:30,23:28,5.0,5.0,60,0,FALSE,FALSE,
SH20250708_0182,2025,7,8,749,ケサブ,09:00,18:00,09:00,18:02,8.0,8.0,60,2,FALSE,FALSE,
SH20250709_0183,2025,7,9,749,ケサブ,09:00,18:00,09:00,18:00,8.0,8.0,60,0,FALSE,FALSE,
SH20250709_0184,2025,7,9,750,加藤智津子,18:00,23:30,18:00,23:31,4.5,4.5,60,1,FALSE,FALSE,
SH20250710_0185,2025,7,10,749,ケサブ,09:00,23:30,09:00,23:25,13.5,13.4,60,0,FALSE,FALSE,
SH20250711_0186,2025,7,11,748,Tipsy Tiger,09:00,23:30,09:00,23:26,13.5,13.4,60,0,FALSE,FALSE,
SH20250712_0187,2025,7,12,748,Tipsy Tiger,17:30,23:30,17:30,23:37,5.0,5.1,60,7,FALSE,FALSE,
SH20250712_0188,2025,7,12,749,ケサブ,09:00,18:00,09:00,17:57,8.0,8.0,60,0,FALSE,FALSE,
SH20250712_0189,2025,7,12,747,佐々美音,12:00,22:00,12:00,22:08,9.0,9.1,60,8,FALSE,FALSE,
SH20250713_0190,2025,7,13,748,Tipsy Tiger,09:00,23:30,09:00,23:38,13.5,13.6,60,8,FALSE,FALSE,
SH20250713_0191,2025,7,13,747,佐々美音,12:00,22:00,12:00,22:07,9.0,9.1,60,7,FALSE,FALSE,
SH20250714_0192,2025,7,14,748,Tipsy Tiger,17:30,23:30,17:30,23:37,5.0,5.1,60,7,FALSE,FALSE,
SH20250714_0193,2025,7,14,749,ケサブ,09:00,18:00,09:00,17:55,8.0,7.9,60,0,FALSE,FALSE,
SH20250715_0194,2025,7,15,748,Tipsy Tiger,17:30,23:30,17:30,23:36,5.0,5.1,60,6,FALSE,FALSE,
SH20250715_0195,2025,7,15,749,ケサブ,09:00,18:00,09:00,18:04,8.0,8.1,60,4,FALSE,FALSE,
SH20250716_0196,2025,7,16,748,Tipsy Tiger,17:30,23:30,17:30,23:37,5.0,5.1,60,7,FALSE,FALSE,
SH20250716_0197,2025,7,16,749,ケサブ,09:00,18:00,09:00,18:09,8.0,8.2,60,9,FALSE,FALSE,
SH20250717_0198,2025,7,17,749,ケサブ,09:00,23:30,09:00,23:30,13.5,13.5,60,0,FALSE,FALSE,
SH20250718_0199,2025,7,18,748,Tipsy Tiger,09:00,23:30,09:00,23:25,13.5,13.4,60,0,FALSE,FALSE,
SH20250719_0200,2025,7,19,748,Tipsy Tiger,17:30,23:30,17:30,23:28,5.0,5.0,60,0,FALSE,FALSE,
SH20250719_0201,2025,7,19,749,ケサブ,09:00,18:00,09:00,18:09,8.0,8.2,60,9,FALSE,FALSE,
SH20250719_0202,2025,7,19,747,佐々美音,12:00,22:00,12:00,22:03,9.0,9.1,60,3,FALSE,FALSE,
SH20250720_0203,2025,7,20,748,Tipsy Tiger,09:00,23:30,09:00,23:30,13.5,13.5,60,0,FALSE,FALSE,
SH20250720_0204,2025,7,20,747,佐々美音,12:00,22:00,12:00,22:07,9.0,9.1,60,7,FALSE,FALSE,
SH20250721_0205,2025,7,21,748,Tipsy Tiger,16:30,23:30,16:30,23:39,6.0,6.2,60,9,FALSE,FALSE,
SH20250721_0206,2025,7,21,749,ケサブ,09:00,17:00,09:00,16:59,7.0,7.0,60,0,FALSE,FALSE,
SH20250721_0207,2025,7,21,747,佐々美音,12:00,22:00,12:00,22:03,9.0,9.1,60,3,FALSE,FALSE,
SH20250722_0208,2025,7,22,748,Tipsy Tiger,17:30,23:30,17:30,23:39,5.0,5.2,60,9,FALSE,FALSE,
SH20250722_0209,2025,7,22,749,ケサブ,09:00,18:00,09:00,17:59,8.0,8.0,60,0,FALSE,FALSE,
SH20250723_0210,2025,7,23,748,Tipsy Tiger,17:30,23:30,17:30,23:33,5.0,5.0,60,3,FALSE,FALSE,
SH20250723_0211,2025,7,23,749,ケサブ,09:00,18:00,09:00,18:06,8.0,8.1,60,6,FALSE,FALSE,
SH20250724_0212,2025,7,24,749,ケサブ,09:00,23:30,09:00,23:27,13.5,13.4,60,0,FALSE,FALSE,
SH20250725_0213,2025,7,25,748,Tipsy Tiger,09:00,23:30,09:00,23:31,13.5,13.5,60,1,FALSE,FALSE,
SH20250726_0214,2025,7,26,748,Tipsy Tiger,17:30,23:30,17:30,23:34,5.0,5.1,60,4,FALSE,FALSE,
SH20250726_0215,2025,7,26,749,ケサブ,09:00,18:00,09:00,17:57,8.0,8.0,60,0,FALSE,FALSE,
SH20250726_0216,2025,7,26,747,佐々美音,12:00,22:00,12:00,22:05,9.0,9.1,60,5,FALSE,FALSE,
SH20250727_0217,2025,7,27,748,Tipsy Tiger,09:00,23:30,09:00,23:27,13.5,13.4,60,0,FALSE,FALSE,
